,ANO,Estado,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
0,2011,Rondônia,-,1,1,2,-,3,1,1,2,-,-,4
1,2011,Acre,1,2,-,-,2,-,-,1,-,-,-,-
2,2011,Amazonas,5,5,5,6,3,6,4,7,3,3,4,1
3,2011,Roraima,-,1,-,1,1,-,-,1,-,-,1,1
4,2011,Pará,7,5,5,5,7,10,12,5,8,6,11,4
5,2011,Amapá,-,-,-,2,-,1,-,1,-,1,1,-
6,2011,Tocantins,3,2,-,4,4,3,3,1,2,-,2,2
7,2011,Maranhão,6,6,9,9,14,7,11,8,9,10,8,8
8,2011,Piauí,5,4,4,6,3,6,3,4,2,-,6,2
9,2011,Ceará,5,7,5,10,7,5,4,10,9,4,10,12
10,2011,Rio Grande do Norte,1,1,5,4,6,1,3,2,4,-,3,3
11,2011,Paraíba,1,-,1,5,3,3,2,8,1,1,3,3
12,2011,Pernambuco,9,9,11,5,4,6,8,8,8,3,4,4
13,2011,Alagoas,2,2,1,4,2,4,3,3,1,3,2,1
14,2011,Sergipe,2,6,2,2,3,2,2,2,-,2,1,5
15,2011,Bahia,16,12,21,11,17,7,13,14,11,9,9,9
16,2011,Minas Gerais,8,6,13,9,8,9,4,12,3,8,8,7
17,2011,Espírito Santo,1,3,-,4,7,1,2,3,2,2,5,2
18,2011,Rio de Janeiro,13,16,22,10,22,8,14,13,11,8,14,13
19,2011,São Paulo,26,16,26,17,27,16,23,18,11,19,20,30
20,2011,Paraná,11,6,5,6,8,9,9,2,6,5,5,7
21,2011,Santa Catarina,4,2,-,-,4,-,2,5,1,1,1,2
22,2011,Rio Grande do Sul,4,6,3,5,9,6,5,4,6,8,7,4
23,2011,Mato Grosso do Sul,-,3,1,1,3,3,1,2,2,4,5,4
24,2011,Mato Grosso,4,5,3,3,-,-,3,2,2,5,3,4
25,2011,Goiás,6,5,2,2,3,2,6,4,2,3,2,-
26,2011,Distrito Federal,1,-,2,-,1,4,4,1,2,3,-,1
27,2012,Rondônia,4,2,4,1,-,2,-,1,1,-,1,1
28,2012,Acre,3,-,3,-,1,1,-,-,-,-,-,1
29,2012,Amazonas,4,7,5,3,5,5,3,3,3,5,2,5
30,2012,Roraima,-,-,-,-,2,-,-,1,-,-,1,-
31,2012,Pará,5,8,11,13,5,8,12,10,7,5,3,7
32,2012,Amapá,-,1,-,-,2,-,1,-,-,1,1,-
33,2012,Tocantins,-,2,1,2,1,2,2,1,2,-,-,-
34,2012,Maranhão,11,8,9,9,6,6,5,5,4,8,8,5
35,2012,Piauí,3,1,2,3,4,3,4,2,6,9,6,5
36,2012,Ceará,7,7,2,8,10,7,8,7,12,10,4,6
37,2012,Rio Grande do Norte,4,4,3,5,3,3,1,1,1,2,3,1
38,2012,Paraíba,2,3,1,2,4,1,5,2,2,2,2,1
39,2012,Pernambuco,8,6,7,8,5,4,8,3,5,2,8,9
40,2012,Alagoas,1,3,2,3,3,4,2,1,1,1,1,2
41,2012,Sergipe,3,1,-,3,3,4,1,1,5,-,1,2
42,2012,Bahia,7,15,12,12,18,14,15,11,10,11,11,11
43,2012,Minas Gerais,7,6,4,6,9,7,9,6,8,10,9,7
44,2012,Espírito Santo,3,3,5,2,5,1,1,4,1,5,1,3
45,2012,Rio de Janeiro,13,14,23,14,18,19,13,10,16,13,15,12
46,2012,São Paulo,17,18,9,23,20,20,25,20,14,25,21,15
47,2012,Paraná,8,2,3,4,7,3,7,4,6,6,6,3
48,2012,Santa Catarina,5,4,3,4,2,3,-,5,1,-,2,3
49,2012,Rio Grande do Sul,6,8,13,13,14,6,6,7,4,2,7,6
50,2012,Mato Grosso do Sul,4,4,5,1,2,2,2,2,1,2,1,3
51,2012,Mato Grosso,-,3,7,1,2,3,6,3,2,-,1,2
52,2012,Goiás,11,6,6,3,6,1,-,3,6,5,4,3
53,2012,Distrito Federal,2,2,2,1,4,1,1,2,1,1,1,1
54,2013,Rondônia,-,2,1,4,2,-,1,3,-,1,1,3
55,2013,Acre,1,-,1,-,3,-,-,-,1,2,2,-
56,2013,Amazonas,5,2,1,3,7,5,3,5,5,7,3,4
57,2013,Roraima,-,-,2,-,-,1,-,1,-,-,1,1
58,2013,Pará,11,10,7,12,22,10,7,9,11,7,8,6
59,2013,Amapá,2,1,-,1,3,1,2,1,1,1,-,1
60,2013,Tocantins,1,-,2,-,3,2,-,3,3,-,-,-
61,2013,Maranhão,10,2,14,10,13,16,8,8,7,6,7,10
62,2013,Piauí,4,1,5,4,2,6,8,3,3,2,3,3
63,2013,Ceará,13,8,13,8,10,9,7,3,6,6,5,5
64,2013,Rio Grande do Norte,2,1,1,-,3,2,2,3,4,3,-,1
65,2013,Paraíba,6,3,2,2,9,5,2,-,3,2,4,2
66,2013,Pernambuco,6,6,4,7,10,13,11,7,7,5,6,9
67,2013,Alagoas,3,2,4,1,2,3,6,4,1,1,1,3
68,2013,Sergipe,4,2,1,1,2,1,4,2,1,2,-,3
69,2013,Bahia,16,11,20,22,12,15,9,14,10,14,7,12
70,2013,Minas Gerais,16,13,7,18,11,10,7,8,10,8,6,9
71,2013,Espírito Santo,2,3,3,1,4,1,3,-,1,3,2,3
72,2013,Rio de Janeiro,16,12,17,18,16,17,15,14,14,16,15,10
73,2013,São Paulo,22,20,27,23,21,15,19,19,15,15,27,17
74,2013,Paraná,5,11,9,3,7,3,3,2,4,3,4,11
75,2013,Santa Catarina,3,4,2,2,3,2,1,-,-,3,3,3
76,2013,Rio Grande do Sul,8,2,5,2,2,3,4,5,3,3,5,2
77,2013,Mato Grosso do Sul,-,-,2,2,1,1,3,1,5,2,-,5
78,2013,Mato Grosso,6,5,3,3,5,2,2,2,4,2,4,-
79,2013,Goiás,4,4,4,4,7,8,1,4,4,3,5,1
80,2013,Distrito Federal,-,1,1,1,4,1,-,2,3,3,4,4
81,2014,Rondônia,2,2,6,2,2,1,1,1,2,2,1,-
82,2014,Acre,-,1,-,1,1,-,1,-,-,-,-,4
83,2014,Amazonas,8,3,8,3,8,7,9,6,6,5,8,7
84,2014,Roraima,-,1,-,-,-,1,1,-,-,1,-,1
85,2014,Pará,10,11,11,11,13,8,13,2,11,11,4,12
86,2014,Amapá,-,1,-,2,-,1,-,4,-,-,-,-
87,2014,Tocantins,1,1,1,2,1,1,-,2,2,2,2,-
88,2014,Maranhão,4,7,10,9,11,5,10,5,15,10,1,6
89,2014,Piauí,4,1,6,3,4,2,3,2,2,2,3,1
90,2014,Ceará,6,10,3,12,9,9,3,6,8,6,4,8
91,2014,Rio Grande do Norte,3,5,6,2,3,4,2,3,4,-,2,2
92,2014,Paraíba,4,2,2,2,5,2,5,3,2,1,2,1
93,2014,Pernambuco,6,8,4,8,8,11,13,7,8,5,8,5
94,2014,Alagoas,5,5,5,4,9,4,6,1,7,2,4,2
95,2014,Sergipe,2,1,4,2,1,3,2,1,3,-,1,3
96,2014,Bahia,9,12,23,10,16,15,8,9,14,9,15,9
97,2014,Minas Gerais,14,9,12,13,16,9,12,10,7,11,11,7
98,2014,Espírito Santo,8,3,5,6,5,6,1,3,2,4,3,4
99,2014,Rio de Janeiro,19,14,11,9,15,14,19,13,14,17,10,11
100,2014,São Paulo,28,20,26,26,21,17,33,15,17,21,14,25
101,2014,Paraná,9,3,5,4,10,7,5,4,5,4,2,8
102,2014,Santa Catarina,4,1,1,1,4,2,3,-,-,3,3,2
103,2014,Rio Grande do Sul,4,3,7,5,4,5,10,6,3,4,6,2
104,2014,Mato Grosso do Sul,1,2,-,4,4,2,1,3,2,2,4,1
105,2014,Mato Grosso,3,2,3,3,2,3,3,2,5,4,4,2
106,2014,Goiás,3,5,3,4,5,10,2,2,4,4,3,6
107,2014,Distrito Federal,3,4,1,1,1,4,-,2,1,1,1,1
108,2015,Rondônia,4,1,2,2,1,1,-,1,1,-,-,1
109,2015,Acre,1,1,-,2,2,-,1,2,-,-,-,1
