"Unidade da Federa��o";"Janeiro";"Fevereiro";"Mar�o";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"11 Rond�nia";1;3;2;2;-;2;-;1;-;2;-;2;15
"12 Acre";1;3;-;-;1;-;1;2;1;-;-;-;9
"13 Amazonas";3;5;6;3;4;5;8;4;6;3;5;3;55
"14 Roraima";-;-;-;1;-;-;1;-;1;1;1;1;6
"15 Par�";7;3;7;15;11;3;7;11;8;11;11;9;103
"16 Amap�";5;-;-;1;-;2;1;4;1;1;1;1;17
"17 Tocantins";-;3;2;1;-;2;3;2;1;3;-;1;18
"21 Maranh�o";10;7;11;9;12;12;8;11;4;11;7;8;110
"22 Piau�";3;3;3;7;1;6;2;2;3;2;1;5;38
"23 Cear�";4;9;6;6;3;6;10;6;8;7;4;5;74
"24 Rio Grande do Norte";2;2;3;5;3;1;1;5;3;2;2;2;31
"25 Para�ba";5;2;4;6;9;7;4;5;1;3;3;-;49
"26 Pernambuco";5;3;8;8;12;8;8;5;5;3;3;3;71
"27 Alagoas";1;2;2;5;2;4;3;2;-;-;2;2;25
"28 Sergipe";3;5;-;2;3;1;-;1;-;1;1;1;18
"29 Bahia";7;15;16;12;8;12;9;7;7;14;5;10;122
"31 Minas Gerais";14;15;13;11;14;12;7;6;6;1;10;10;119
"32 Esp�rito Santo";2;-;3;4;3;1;2;1;2;-;2;1;21
"33 Rio de Janeiro";15;13;13;19;20;7;14;10;9;9;12;16;157
"35 S�o Paulo";35;29;33;32;32;23;24;19;20;17;28;16;308
"41 Paran�";8;7;10;4;4;8;4;7;3;8;6;4;73
"42 Santa Catarina";2;2;2;5;5;3;1;2;2;1;2;2;29
"43 Rio Grande do Sul";5;6;5;5;3;8;4;3;2;3;4;7;55
"50 Mato Grosso do Sul";3;4;4;2;4;1;-;3;2;-;3;2;28
"51 Mato Grosso";3;7;4;3;3;4;3;3;2;-;3;7;42
"52 Goi�s";3;3;6;6;6;3;3;4;5;5;5;4;53
"53 Distrito Federal";1;3;6;4;2;1;-;-;2;2;2;1;24
"Total";148;154;169;178;165;142;128;126;104;110;123;123;1670
